"team","min_remaining","passes","runs"
"SF",0,25,5
"ARI",0,20,6
"CHI",0,20,2
"DET",0,17,1
"CLE",0,4,1
"BAL",0,15,1
"LA",0,4,1
"DAL",0,28,5
"GB",0,7,0
"MIN",0,13,1
"HOU",0,14,3
"KC",0,7,2
"IND",0,14,1
"JAX",0,5,1
"CIN",0,10,6
"LAC",0,22,6
"LV",0,11,6
"CAR",0,17,0
"MIA",0,6,3
"NE",0,16,12
"NYJ",0,3,3
"BUF",0,9,1
"WAS",0,10,2
"PHI",0,28,4
"NYG",0,16,0
"PIT",0,2,2
"ATL",0,29,2
"SEA",0,12,1
"NO",0,5,2
"TB",0,2,2
"TEN",0,12,5
"DEN",0,27,5
"all",0,430,92
"SF",1,25,1
"ARI",1,5,5
"CHI",1,32,10
"DET",1,14,7
"CLE",1,9,18
"BAL",1,5,12
"LA",1,1,7
"DAL",1,29,7
"GB",1,7,6
"MIN",1,24,8
"HOU",1,19,11
"KC",1,12,6
"IND",1,21,3
"JAX",1,20,5
"CIN",1,16,16
"LAC",1,12,10
"LV",1,10,13
"CAR",1,14,3
"MIA",1,7,12
"NE",1,23,9
"NYJ",1,17,8
"BUF",1,7,10
"WAS",1,17,9
"PHI",1,21,13
"NYG",1,25,9
"PIT",1,9,14
"ATL",1,17,9
"SEA",1,25,12
"NO",1,12,11
"TB",1,5,9
"TEN",1,20,5
"DEN",1,11,8
"all",1,491,286
"SF",2,29,10
"ARI",2,9,12
"CHI",2,25,5
"DET",2,16,5
"CLE",2,9,14
"BAL",2,5,17
"LA",2,12,15
"DAL",2,28,12
"GB",2,10,14
"MIN",2,16,14
"HOU",2,12,8
"KC",2,20,19
"IND",2,17,13
"JAX",2,29,5
"CIN",2,21,19
"LAC",2,17,12
"LV",2,20,19
"CAR",2,19,15
"MIA",2,14,12
"NE",2,13,16
"NYJ",2,21,6
"BUF",2,7,13
"WAS",2,27,16
"PHI",2,25,4
"NYG",2,22,7
"PIT",2,19,10
"ATL",2,16,3
"SEA",2,19,12
"NO",2,12,22
"TB",2,13,16
"TEN",2,21,16
"DEN",2,10,13
"all",2,553,394
"SF",3,14,7
"ARI",3,10,11
"CHI",3,23,6
"DET",3,15,5
"CLE",3,7,12
"BAL",3,5,15
"LA",3,12,13
"DAL",3,15,8
"GB",3,15,14
"MIN",3,13,9
"HOU",3,12,4
"KC",3,15,19
"IND",3,11,10
"JAX",3,23,2
"CIN",3,17,11
"LAC",3,19,8
"LV",3,11,11
"CAR",3,12,14
"MIA",3,12,7
"NE",3,14,8
"NYJ",3,8,7
"BUF",3,16,7
"WAS",3,17,13
"PHI",3,26,5
"NYG",3,9,6
"PIT",3,14,4
"ATL",3,14,6
"SEA",3,10,11
"NO",3,10,12
"TB",3,13,14
"TEN",3,7,19
"DEN",3,12,6
"all",3,431,304
"SF",4,13,9
"ARI",4,11,11
"CHI",4,13,8
"DET",4,23,3
"CLE",4,11,10
"BAL",4,8,13
"LA",4,13,11
"DAL",4,13,12
"GB",4,12,10
"MIN",4,12,11
"HOU",4,9,3
"KC",4,16,12
"IND",4,11,8
"JAX",4,16,6
"CIN",4,12,8
"LAC",4,13,7
"LV",4,14,13
"CAR",4,14,7
"MIA",4,14,17
"NE",4,11,7
"NYJ",4,11,2
"BUF",4,13,9
"WAS",4,10,6
"PHI",4,14,5
"NYG",4,12,7
"PIT",4,12,6
"ATL",4,15,5
"SEA",4,10,9
"NO",4,9,12
"TB",4,18,19
"TEN",4,11,10
"DEN",4,14,7
"all",4,408,283
"SF",5,13,6
"ARI",5,8,12
"CHI",5,14,5
"DET",5,13,5
"CLE",5,3,12
"BAL",5,10,11
"LA",5,10,10
"DAL",5,24,10
"GB",5,8,9
"MIN",5,11,10
"HOU",5,9,6
"KC",5,11,7
"IND",5,15,6
"JAX",5,21,4
"CIN",5,13,7
"LAC",5,7,11
"LV",5,13,10
"CAR",5,11,7
"MIA",5,13,6
"NE",5,3,7
"NYJ",5,13,4
"BUF",5,7,11
"WAS",5,12,8
"PHI",5,9,6
"NYG",5,9,1
"PIT",5,5,7
"ATL",5,14,5
"SEA",5,7,9
"NO",5,6,11
"TB",5,8,9
"TEN",5,10,6
"DEN",5,8,9
"all",5,338,247
"SF",6,8,5
"ARI",6,7,9
"CHI",6,12,7
"DET",6,11,7
"CLE",6,10,12
"BAL",6,10,12
"LA",6,7,9
"DAL",6,11,12
"GB",6,10,8
"MIN",6,7,6
"HOU",6,8,3
"KC",6,11,8
"IND",6,11,9
"JAX",6,24,3
"CIN",6,4,6
"LAC",6,9,5
"LV",6,11,8
"CAR",6,8,6
"MIA",6,8,8
"NE",6,6,7
"NYJ",6,20,8
"BUF",6,12,8
"WAS",6,13,9
"PHI",6,14,2
"NYG",6,13,5
"PIT",6,10,4
"ATL",6,9,7
"SEA",6,15,9
"NO",6,11,5
"TB",6,13,8
"TEN",6,11,7
"DEN",6,9,10
"all",6,343,232
"SF",7,12,4
"ARI",7,8,6
"CHI",7,11,9
"DET",7,21,7
"CLE",7,8,12
"BAL",7,7,12
"LA",7,14,11
"DAL",7,22,5
"GB",7,6,9
"MIN",7,5,8
"HOU",7,16,6
"KC",7,10,5
"IND",7,16,10
"JAX",7,16,2
"CIN",7,10,6
"LAC",7,7,5
"LV",7,8,6
"CAR",7,5,3
"MIA",7,7,8
"NE",7,5,7
"NYJ",7,5,3
"BUF",7,8,8
"WAS",7,13,7
"PHI",7,11,6
"NYG",7,12,0
"PIT",7,19,5
"ATL",7,12,5
"SEA",7,16,10
"NO",7,10,8
"TB",7,16,8
"TEN",7,8,11
"DEN",7,12,8
"all",7,356,220
"SF",8,12,10
"ARI",8,10,6
"CHI",8,10,6
"DET",8,11,3
"CLE",8,7,11
"BAL",8,8,7
"LA",8,7,7
"DAL",8,7,5
"GB",8,12,6
"MIN",8,10,6
"HOU",8,7,3
"KC",8,6,8
"IND",8,4,8
"JAX",8,11,6
"CIN",8,12,10
"LAC",8,10,7
"LV",8,8,7
"CAR",8,9,2
"MIA",8,11,8
"NE",8,11,8
"NYJ",8,7,4
"BUF",8,17,11
"WAS",8,11,10
"PHI",8,13,1
"NYG",8,14,7
"PIT",8,13,5
"ATL",8,8,7
"SEA",8,11,7
"NO",8,12,7
"TB",8,13,8
"TEN",8,8,11
"DEN",8,16,3
"all",8,326,215
"SF",9,9,5
"ARI",9,18,5
"CHI",9,9,5
"DET",9,13,6
"CLE",9,5,11
"BAL",9,6,6
"LA",9,8,8
"DAL",9,3,4
"GB",9,15,6
"MIN",9,11,4
"HOU",9,9,7
"KC",9,10,7
"IND",9,4,10
"JAX",9,13,7
"CIN",9,15,6
"LAC",9,15,10
"LV",9,5,11
"CAR",9,10,2
"MIA",9,10,8
"NE",9,9,11
"NYJ",9,5,3
"BUF",9,13,10
"WAS",9,12,7
"PHI",9,15,6
"NYG",9,4,8
"PIT",9,14,5
"ATL",9,11,8
"SEA",9,12,5
"NO",9,10,13
"TB",9,12,10
"TEN",9,12,10
"DEN",9,9,8
"all",9,326,232
"SF",10,13,6
"ARI",10,9,10
"CHI",10,6,3
"DET",10,17,2
"CLE",10,6,12
"BAL",10,4,8
"LA",10,9,4
"DAL",10,6,1
"GB",10,7,8
"MIN",10,11,10
"HOU",10,13,6
"KC",10,9,12
"IND",10,5,10
"JAX",10,13,3
"CIN",10,15,8
"LAC",10,12,14
"LV",10,10,7
"CAR",10,5,8
"MIA",10,8,9
"NE",10,7,10
"NYJ",10,8,9
"BUF",10,18,3
"WAS",10,16,5
"PHI",10,11,2
"NYG",10,15,5
"PIT",10,14,6
"ATL",10,10,9
"SEA",10,7,5
"NO",10,7,11
"TB",10,11,7
"TEN",10,8,9
"DEN",10,8,5
"all",10,318,227
"SF",11,12,6
"ARI",11,4,12
"CHI",11,11,5
"DET",11,5,10
"CLE",11,6,10
"BAL",11,0,10
"LA",11,15,7
"DAL",11,8,3
"GB",11,10,6
"MIN",11,8,11
"HOU",11,9,2
"KC",11,18,7
"IND",11,8,7
"JAX",11,8,3
"CIN",11,5,7
"LAC",11,12,11
"LV",11,9,8
"CAR",11,9,6
"MIA",11,8,10
"NE",11,6,8
"NYJ",11,8,4
"BUF",11,11,7
"WAS",11,12,10
"PHI",11,9,4
